# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Minsoy.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Minsoy.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000423 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	22662
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Minsoy	PI86046	16170	9.311599e-01	41041	24871
DCv2	Minsoy	PI90208	14892	5.807522e-01	41041	26149
DCv2	Minsoy	PI219698	15384	8.312358e-01	41041	25657
DCv2	Minsoy	PI253651A	15269	7.223450e-01	41041	25772
DCv2	Minsoy	PI347550A	15541	6.998704e-01	41041	25500
DCv2	Minsoy	PI398807	15007	5.803374e-01	41041	26034
DCv2	Minsoy	PI408055A	14753	5.891052e-01	41041	26288
DCv2	Minsoy	PI408069	15241	5.681859e-01	41041	25800
DCv2	Minsoy	PI408169A	14896	6.243581e-01	41041	26145
DCv2	Minsoy	PI408169B	14517	6.250880e-01	41041	26524
DCv2	Minsoy	PI416923	15928	5.473105e-01	41041	25113
DCv2	Minsoy	PI417472A	16052	5.706622e-01	41041	24989
DCv2	Minsoy	PI417508	15495	7.597866e-01	41041	25546
DCv2	Minsoy	PI417521	15258	6.896411e-01	41041	25783
DCv2	Minsoy	PI423734	15209	5.655848e-01	41041	25832
DCv2	Minsoy	PI423923	15793	5.718764e-01	41041	25248
DCv2	Minsoy	PI424145	15834	5.570579e-01	41041	25207
DCv2	Minsoy	PI424159A	15403	5.796539e-01	41041	25638
DCv2	Minsoy	PI424241	14770	5.732227e-01	41041	26271
DCv2	Minsoy	PI424485	14724	5.865728e-01	41041	26317
DCv2	Minsoy	PI424549B	15778	5.601366e-01	41041	25263
DCv2	Minsoy	PI437196	15075	6.225396e-01	41041	25966
DCv2	Minsoy	PI437199	5862	1.078394e+00	41041	35179
DCv2	Minsoy	PI437619	15712	6.289579e-01	41041	25329
DCv2	Minsoy	PI437633A	12420	8.895432e-01	41041	28621
DCv2	Minsoy	PI437649B	14966	7.197598e-01	41041	26075
DCv2	Minsoy	PI437749	14573	6.864375e-01	41041	26468
DCv2	Minsoy	PI437833	15017	6.116417e-01	41041	26024
DCv2	Minsoy	PI437841	15595	6.216508e-01	41041	25446
DCv2	Minsoy	PI438229	14029	7.010724e-01	41041	27012
DCv2	Minsoy	PI438249B	16159	7.959445e-01	41041	24882
DCv2	Minsoy	PI438250B	14483	7.871235e-01	41041	26558
DCv2	Minsoy	PI438251	14778	8.151001e-01	41041	26263
DCv2	Minsoy	PI438252A	14545	6.705123e-01	41041	26496
DCv2	Minsoy	PI438252C	15104	6.858522e-01	41041	25937
DCv2	Minsoy	PI438313	2455	1.154862e+00	41041	38586
DCv2	Minsoy	PI445825	13524	7.616647e-01	41041	27517
DCv2	Minsoy	PI458139	14981	5.846258e-01	41041	26060
DCv2	Minsoy	PI458181	15195	5.621226e-01	41041	25846
DCv2	Minsoy	PI506560	15778	5.661201e-01	41041	25263
DCv2	Minsoy	PI506574	15723	5.808996e-01	41041	25318
DCv2	Minsoy	PI506575A	15856	5.569748e-01	41041	25185
DCv2	Minsoy	PI506711B	15566	5.892373e-01	41041	25475
DCv2	Minsoy	PI506847	15547	5.706839e-01	41041	25494
DCv2	Minsoy	PI506992	16094	5.515593e-01	41041	24947
DCv2	Minsoy	PI507344	15858	5.577932e-01	41041	25183
DCv2	Minsoy	PI507368	15141	6.117524e-01	41041	25900
DCv2	Minsoy	PI507541	16203	5.576129e-01	41041	24838
DCv2	Minsoy	PI509111	14650	5.815255e-01	41041	26391
DCv2	Minsoy	PI548449	15119	6.506867e-01	41041	25922
DCv2	Minsoy	PI549076A	14942	6.706887e-01	41041	26099
DCv2	Minsoy	PI561348	15914	5.657542e-01	41041	25127
DCv2	Minsoy	PI567433A	11619	9.140144e-01	41041	29422
DCv2	Minsoy	PI567451	10417	1.015479e+00	41041	30624
DCv2	Minsoy	PI567453	13085	8.716627e-01	41041	27956
DCv2	Minsoy	PI567518	14096	9.314674e-01	41041	26945
DCv2	Minsoy	PI567603A	14036	7.614849e-01	41041	27005
DCv2	Minsoy	PI567679C	14552	7.909770e-01	41041	26489
DCv2	Minsoy	PI567767C	14730	7.966741e-01	41041	26311
DCv2	Minsoy	PI578386	14443	7.029869e-01	41041	26598
DCv2	Minsoy	PI578485A	15140	6.783494e-01	41041	25901
DCv2	Minsoy	PI587583B	15114	6.572051e-01	41041	25927
DCv2	Minsoy	PI592948	12806	8.457691e-01	41041	28235
DCv2	Minsoy	PI594245B	15978	5.634433e-01	41041	25063
DCv2	Minsoy	PI594401B	15344	6.949794e-01	41041	25697
DCv2	Minsoy	PI594461A	14730	6.815398e-01	41041	26311
DCv2	Minsoy	PI594476	14791	6.792007e-01	41041	26250
DCv2	Minsoy	PI594714	15209	6.891270e-01	41041	25832
DCv2	Minsoy	PI594817	14944	6.193886e-01	41041	26097
DCv2	Minsoy	PI594818	14765	6.276497e-01	41041	26276
